cl_person_id,full_name,display_name,court_id,seat_id,status,is_chief,appointing_president,president_party,nomination_date,confirmation_date,commission_date,senior_date,term_expiration_date,jd_school,jd_year,aba_rating,cl_profile_url,photo_url,photo_source,photo_license,fedsoc_reported,fedsoc_basis,fedsoc_source,acs_reported,acs_basis,acs_source,data_verified,notes
1489,H[ezekiah] Russel Holland,Holland,akd,AKD0103,senior,false,Ronald Reagan,Republican,1984-03-06,1984-03-26,1984-07-16,2001-09-18,,University of Michigan Law School,1961,Qualified,https://www.courtlistener.com/person/1489/hezekiah-russel-holland/,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/H._Russel_Holland.jpg/330px-H._Russel_Holland.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:H._Russel_Holland.jpg,Public domain,false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
2979,James Keith Singleton Jr.,Singleton,akd,AKD0203,senior,false,George H.W. Bush,Republican,1990-01-24,1990-05-11,1990-05-14,2005-01-27,,"University of California, Berkeley, School of Law",1964,Well Qualified,https://www.courtlistener.com/person/2979/james-keith-singleton-jr/,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/James_Keith_Singleton.jpg/330px-James_Keith_Singleton.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:James_Keith_Singleton.jpg,Public domain,false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
2898,John W. Sedwick,Sedwick,akd,AKD0302,senior,false,George H.W. Bush,Republican,1992-07-02,1992-10-08,1992-10-09,2011-03-13,,Harvard Law School,1972,Well Qualified,https://www.courtlistener.com/person/2898/john-w-sedwick/,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/John_Sedwick.jpg/330px-John_Sedwick.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:John_Sedwick.jpg,Public domain,false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
236,Ralph R. Beistline,Beistline,akd,AKD0104,senior,false,George W. Bush,Republican,2001-11-08,2002-03-12,2002-03-19,2015-12-31,,University of Puget Sound School of Law (now Seattle University School of Law),1974,Qualified,https://www.courtlistener.com/person/236/ralph-r-beistline/,https://upload.wikimedia.org/wikipedia/commons/b/bf/Ralph_R._Beistline.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,https://commons.wikimedia.org/wiki/File:Ralph_R._Beistline.jpg,Public domain,false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
466,Timothy Mark Burgess,Burgess,akd,AKD0204,senior,false,George W. Bush,Republican,2005-07-28,2005-12-21,2006-01-23,2021-12-31,,Northeastern University School of Law,1987,Qualified,https://www.courtlistener.com/person/466/timothy-mark-burgess/,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Timothy_Burgess.jpg/330px-Timothy_Burgess.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Timothy_Burgess.jpg,Public domain,false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
1215,Sharon Louise Gleason,Gleason,akd,AKD0303,active,true,Barack Obama,Democratic,2011-04-06,2011-11-15,2012-01-04,,,"University of California, Davis, School of Law",1983,Well Qualified,https://www.courtlistener.com/person/1215/sharon-louise-gleason/,https://upload.wikimedia.org/wikipedia/commons/0/08/Judge_Sharon_L._Gleason.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,https://commons.wikimedia.org/wiki/File:Judge_Sharon_L._Gleason.jpg,Public domain,false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
,Aaron Christian Peterson,Peterson,akd,AKD0205,active,false,Donald J. Trump,Republican,2026-01-05,2026-02-04,2026-02-10,,,Gonzaga University School of Law,2010,,,https://upload.wikimedia.org/wikipedia/commons/5/5d/Aaron_C._Peterson.png,https://commons.wikimedia.org/wiki/File:Aaron_C._Peterson.png,Public domain (PD-USGov) — credit: U.S. Senate Judiciary Committee,false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
3215,Myron Herbert Thompson,Thompson,almd,ALMD0111,senior,false,Jimmy Carter,Democratic,1980-09-17,1980-09-26,1980-09-29,2013-08-22,,Yale Law School,1972,Qualified,https://www.courtlistener.com/person/3215/myron-herbert-thompson/,https://upload.wikimedia.org/wikipedia/commons/b/b0/Myron_H._Thompson_official.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,https://commons.wikimedia.org/wiki/File:Myron_H._Thompson_official.jpg,Public domain,false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
71,William Harold Albritton III,Albritton,almd,ALMD0303,senior,false,George H.W. Bush,Republican,1991-03-11,1991-05-09,1991-05-14,2004-05-17,,University of Alabama School of Law,1960,Well Qualified,https://www.courtlistener.com/person/71/william-harold-albritton-iii/,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/W._Harold_Albritton_III_official.jpg/330px-W._Harold_Albritton_III_official.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:W._Harold_Albritton_III_official.jpg,Public domain,false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
3389,William Keith Watkins,Watkins,almd,ALMD0304,senior,false,George W. Bush,Republican,2005-09-28,2005-12-21,2005-12-27,2019-01-31,,University of Alabama School of Law,1976,Qualified,https://www.courtlistener.com/person/3389/william-keith-watkins/,https://upload.wikimedia.org/wikipedia/commons/1/18/William_Keith_Watkins_official.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,https://commons.wikimedia.org/wiki/File:William_Keith_Watkins_official.jpg,Public domain,false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
8597,Emily Coody Marks,Marks,almd,ALMD0112,active,false,Donald J. Trump,Republican,2018-01-08,2018-08-01,2018-08-03,,,University of Alabama School of Law,1998,Qualified,https://www.courtlistener.com/person/8597/emily-coody-marks/,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/EmilyCoodyMarksOfficial.jpg/330px-EmilyCoodyMarksOfficial.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:EmilyCoodyMarksOfficial.jpg,Public domain,true,member,https://en.wikipedia.org/w/index.php?title=Emily_C._Marks&oldid=1363346218,false,,,false,Phase-2 sweep; FJC + CourtListener.
,R. Austin Huffaker Jr.,Huffaker,almd,ALMD0305,active,true,Donald J. Trump,Republican,2019-07-08,2019-12-04,2019-12-12,,,University of Alabama School of Law,1999,Well Qualified,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/R._Austin_Huffaker_official.jpg/330px-R._Austin_Huffaker_official.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:R._Austin_Huffaker_official.jpg,Public domain,false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
,Billy Wayne Lewis Jr.,Lewis,almd,ALMD0405,active,false,Donald J. Trump,Republican,2025-09-02,2025-10-27,2025-11-06,,,Cumberland School of Law,2003,Well Qualified,,https://upload.wikimedia.org/wikipedia/commons/f/ff/Bill_W._Lewis.png,https://commons.wikimedia.org/wiki/File:Bill_W._Lewis.png,Public domain (PD-USGov) — credit: U.S. Senate Judiciary Committee,false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
295,Sharon Lovelace Blackburn,Blackburn,alnd,ALND1001,senior,false,George H.W. Bush,Republican,1991-04-11,1991-05-24,1991-05-30,2015-05-08,,"Samford University, Cumberland School of Law",1977,Qualified,https://www.courtlistener.com/person/295/sharon-lovelace-blackburn/,https://upload.wikimedia.org/wikipedia/commons/a/ab/Sharon_Lovelace_Blackburn.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,https://commons.wikimedia.org/wiki/File:Sharon_Lovelace_Blackburn.jpg,Public domain,false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
3002,Charles Lynwood Smith Jr.,Smith,alnd,ALND0702,senior,false,William J. Clinton,Democratic,1995-12-08,1995-12-22,1995-12-26,2013-08-31,,University of Alabama School of Law,1971,Well Qualified,https://www.courtlistener.com/person/3002/charles-lynwood-smith-jr/,,,,false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
1637,Inge Prytz Johnson,Johnson,alnd,ALND0304,senior,false,William J. Clinton,Democratic,1998-08-31,1998-10-08,1998-10-09,2012-10-24,,University of Alabama School of Law,1973,Qualified,https://www.courtlistener.com/person/1637/inge-prytz-johnson/,,,,false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
341,Karon O. Bowdre,Bowdre,alnd,ALND0602,senior,false,George W. Bush,Republican,2001-09-04,2001-11-06,2001-11-08,2020-04-25,,"Samford University, Cumberland School of Law",1981,Qualified,https://www.courtlistener.com/person/341/karon-o-bowdre/,,,,false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
2632,R. David Proctor,Proctor,alnd,ALND1101,senior,false,George W. Bush,Republican,2003-05-01,2003-09-17,2003-09-22,2026-01-01,,University of Tennessee College of Law,1986,Qualified,https://www.courtlistener.com/person/2632/r-david-proctor/,,,,false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
1515,Virginia Emerson Hopkins,Hopkins,alnd,ALND0504,senior,false,George W. Bush,Republican,2003-10-14,2004-06-15,2004-06-17,2018-06-22,,University of Virginia School of Law,1977,Qualified,https://www.courtlistener.com/person/1515/virginia-emerson-hopkins/,,,,false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
1323,Madeline Hughes Haikala,Haikala,alnd,ALND0305,active,true,Barack Obama,Democratic,2013-05-09,2013-10-14,2013-10-16,,,Tulane University Law School,1989,Well Qualified,https://www.courtlistener.com/person/1323/madeline-hughes-haikala/,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Madeline_Haikala_%28cropped%29.jpg/330px-Madeline_Haikala_%28cropped%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Madeline_Haikala_(cropped).jpg,Public domain,false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
8537,Annemarie Carney Axon,Axon,alnd,ALND1002,active,false,Donald J. Trump,Republican,2018-01-08,2018-06-06,2018-06-12,,,University of Alabama School of Law,1999,Qualified,https://www.courtlistener.com/person/8537/annemarie-carney-axon/,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Annemarie_Carney_Axon.png/330px-Annemarie_Carney_Axon.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Annemarie_Carney_Axon.png,Public domain,false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
8557,Liles Clifton Burke,Burke,alnd,ALND0703,active,false,Donald J. Trump,Republican,2018-01-08,2018-10-11,2018-10-17,,,University of Alabama School of Law,1994,Qualified,https://www.courtlistener.com/person/8557/liles-clifton-burke/,https://upload.wikimedia.org/wikipedia/commons/7/72/Judge-Liles-C-Burke.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,https://commons.wikimedia.org/wiki/File:Judge-Liles-C-Burke.jpg,CC BY-SA 4.0 — credit: Alndsystems,false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
8600,Corey Landon Maze,Maze,alnd,ALND0505,active,false,Donald J. Trump,Republican,2019-01-23,2019-06-12,2019-06-18,,,Georgetown University Law Center,2003,Well Qualified,https://www.courtlistener.com/person/8600/corey-landon-maze/,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Corey_Maze_%28Judge%29_%28cropped%29.jpg/330px-Corey_Maze_%28Judge%29_%28cropped%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Corey_Maze_(Judge)_(cropped).jpg,Public domain,true,member,https://en.wikipedia.org/w/index.php?title=Corey_L._Maze&oldid=1341342185,false,,,false,Phase-2 sweep; FJC + CourtListener.
15384,Anna Marie Manasco,Manasco,alnd,ALND0603,active,false,Donald J. Trump,Republican,2020-02-04,2020-05-20,2020-05-27,,,Yale Law School,2008,Qualified,https://www.courtlistener.com/person/15384/anna-marie-manasco/,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Anna_Manasco_%28cropped%29.jpg/330px-Anna_Manasco_%28cropped%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Anna_Manasco_(cropped).jpg,Public domain,false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
,Harold Dean Mooty III,Mooty,alnd,ALND0903,active,false,Donald J. Trump,Republican,2025-09-02,2025-10-21,2025-10-21,,,University of Alabama School of Law,2008,Well Qualified,,https://upload.wikimedia.org/wikipedia/commons/3/3a/Harold_D._Mooty.png,https://commons.wikimedia.org/wiki/File:Harold_D._Mooty.png,Public domain (PD-USGov) — credit: U.S. Senate Committee on the Judiciary,false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
,Edmund Gerard LaCour Jr.,LaCour,alnd,ALND0804,active,false,Donald J. Trump,Republican,2025-09-02,2025-10-29,2025-11-03,,,Yale Law School,2011,Well Qualified,,https://upload.wikimedia.org/wikipedia/commons/0/0b/Edmund_LaCour_Jr_(cropped).jpg,https://commons.wikimedia.org/wiki/File:Edmund_LaCour_Jr_(cropped).jpg,"Public domain — credit: U.S. Senate Judiciary Committee (2021 hearing, prior role as Alabama Solicitor General)",false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
483,Charles Randolph Butler Jr.,Butler,alsd,ALSD0303,senior,false,Ronald Reagan,Republican,1988-04-28,1988-10-14,1988-10-17,2005-03-28,,University of Alabama School of Law,1966,Well Qualified,https://www.courtlistener.com/person/483/charles-randolph-butler-jr/,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Charles_R_Butler_Jr.jpg/330px-Charles_R_Butler_Jr.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Charles_R_Butler_Jr.jpg,Public domain,false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
1262,Callie V. Granade,Granade,alsd,ALSD0402,senior,false,George W. Bush,Republican,2001-09-04,2002-02-04,2002-02-12,2016-03-07,,University of Texas School of Law,1975,Well Qualified,https://www.courtlistener.com/person/1262/callie-v-granade/,,,,false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
3093,William H. Steele,Steele,alsd,ALSD0207,senior,false,George W. Bush,Republican,2003-01-07,2003-03-13,2003-03-14,2017-06-08,,University of Alabama School of Law,1980,Qualified,https://www.courtlistener.com/person/3093/william-h-steele/,,,,false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
926,Kristi DuBose,DuBose,alsd,ALSD0304,active,false,George W. Bush,Republican,2005-09-28,2005-12-21,2005-12-27,,,Emory University School of Law,1989,Well Qualified,https://www.courtlistener.com/person/926/kristi-dubose/,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Kristi_DuBose_%28Judge%29.jpg/330px-Kristi_DuBose_%28Judge%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Kristi_DuBose_(Judge).jpg,Public domain,false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
8545,Jeffrey Uhlman Beaverstock,Beaverstock,alsd,ALSD0403,active,true,Donald J. Trump,Republican,2018-01-08,2018-08-01,2018-08-03,,,University of Alabama School of Law,1998,Qualified,https://www.courtlistener.com/person/8545/jeffrey-uhlman-beaverstock/,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Jeffrey_Uhlman_Beaverstock.png/330px-Jeffrey_Uhlman_Beaverstock.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Jeffrey_Uhlman_Beaverstock.png,Public domain,false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
8604,Terry Fitzgerald Moorer,Moorer,alsd,ALSD0208,active,false,Donald J. Trump,Republican,2018-01-08,2018-08-28,2018-09-04,,,University of Alabama School of Law,1986,Qualified,https://www.courtlistener.com/person/8604/terry-fitzgerald-moorer/,https://upload.wikimedia.org/wikipedia/commons/e/e7/Terry_Fitzgerald_Moorer.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,https://commons.wikimedia.org/wiki/File:Terry_Fitzgerald_Moorer.png,Public domain,false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
3568,Susan Webber Wright,Wright,are,ARED0303,senior,false,George H.W. Bush,Republican,1989-09-21,1990-01-23,1990-01-24,2013-08-22,,University of Arkansas School of Law,1975,Qualified,https://www.courtlistener.com/person/3568/susan-webber-wright/,,,,false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
2249,Brian Stacy Miller,Miller,are,ARED0206,active,false,George W. Bush,Republican,2007-10-16,2008-04-10,2008-04-17,,,Vanderbilt University Law School,1995,Qualified,https://www.courtlistener.com/person/2249/brian-stacy-miller/,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Brian_Stacy_Miller_%28cropped%29.jpg/330px-Brian_Stacy_Miller_%28cropped%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Brian_Stacy_Miller_(cropped).jpg,Public domain,false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
2049,Denzil Price Marshall Jr.,Marshall,are,ARED0111,active,false,Barack Obama,Democratic,2009-12-03,2010-05-05,2010-05-06,,,Harvard Law School,1989,Well Qualified,https://www.courtlistener.com/person/2049/denzil-price-marshall-jr/,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Denzil_Price_Marshall%2C_Jr_%28cropped%29.jpg/330px-Denzil_Price_Marshall%2C_Jr_%28cropped%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,"https://commons.wikimedia.org/wiki/File:Denzil_Price_Marshall,_Jr_(cropped).jpg",Public domain,false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
154,Kristine Gerhard Baker,Baker,are,ARED0503,active,true,Barack Obama,Democratic,2011-11-02,2012-05-07,2012-05-08,,,University of Arkansas School of Law,1996,Well Qualified,https://www.courtlistener.com/person/154/kristine-gerhard-baker/,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Kristine_Gerhard_Baker.jpg/330px-Kristine_Gerhard_Baker.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Kristine_Gerhard_Baker.jpg,Public domain,false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
2289,James Maxwell Moody Jr.,Moody,are,ARED0304,active,false,Barack Obama,Democratic,2014-01-06,2014-02-25,2014-03-10,,,University of Arkansas Bowen School of Law,1989,Well Qualified,https://www.courtlistener.com/person/2289/james-maxwell-moody-jr/,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Judge_Jay_Moody_Jr.jpg/330px-Judge_Jay_Moody_Jr.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Judge_Jay_Moody_Jr.jpg,Public domain,false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
,Lee Philip Rudofsky,Rudofsky,are,ARED0404,active,false,Donald J. Trump,Republican,2019-07-08,2019-11-07,2019-11-08,,,Harvard Law School,2005,Qualified,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Lee_Philip_Rudofsky.jpg/330px-Lee_Philip_Rudofsky.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Lee_Philip_Rudofsky.jpg,Public domain,true,member,https://en.wikipedia.org/w/index.php?title=Lee_Rudofsky&oldid=1366622717,false,,,false,Phase-2 sweep; FJC + CourtListener.
1430,Jimm Larry Hendren,Hendren,arw,ARWD0601,senior,false,George H.W. Bush,Republican,1991-11-05,1992-03-13,1992-03-18,2012-12-31,,University of Arkansas School of Law,1965,Qualified,https://www.courtlistener.com/person/1430/jimm-larry-hendren/,,,,false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
832,Robert Toombs Dawson,Dawson,arw,ARWD0209,senior,false,William J. Clinton,Democratic,1997-11-07,1998-04-02,1998-04-07,2009-08-14,,University of Arkansas School of Law,1965,Qualified,https://www.courtlistener.com/person/832/robert-toombs-dawson/,,,,false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
1502,Paul Kinloch Holmes III,Holmes,arw,ARWD0210,senior,false,Barack Obama,Democratic,2011-01-05,2011-02-07,2011-02-08,2021-11-10,,University of Arkansas School of Law,1978,Well Qualified,https://www.courtlistener.com/person/1502/paul-kinloch-holmes-iii/,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Paul_Holmes_III_%28Judge%29.jpg/330px-Paul_Holmes_III_%28Judge%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Paul_Holmes_III_(Judge).jpg,Public domain,false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
1446,Susan Owens Hickey,Hickey,arw,ARWD0503,senior,false,Barack Obama,Democratic,2011-04-06,2011-10-13,2011-10-19,2026-04-14,,University of Arkansas School of Law,1981,Qualified,https://www.courtlistener.com/person/1446/susan-owens-hickey/,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Susan_Hickey_%28Judge%29.jpg/330px-Susan_Hickey_%28Judge%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Susan_Hickey_(Judge).jpg,Public domain,false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
410,Timothy Lloyd Brooks,Brooks,arw,ARWD0602,active,true,Barack Obama,Democratic,2014-01-06,2014-03-05,2014-03-07,,,University of Arkansas School of Law,1989,Well Qualified,https://www.courtlistener.com/person/410/timothy-lloyd-brooks/,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Timothy_Brooks.png/330px-Timothy_Brooks.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Timothy_Brooks.png,Public domain,false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
,David Clay Wilkerson Fowlkes,Fowlkes,arw,ARWD0211,active,false,Donald J. Trump,Republican,2026-01-05,2026-02-03,2026-02-06,,,University of Arkansas School of Law,2003,Well Qualified,,https://upload.wikimedia.org/wikipedia/commons/f/fd/David_Clay_Fowlkes%2C_official_portrait_%282022%29.jpg,"https://commons.wikimedia.org/wiki/File:David_Clay_Fowlkes,_official_portrait_(2022).jpg","Public domain (PD-USGov) — credit: U.S. Attorney's Office, Western District of Arkansas",false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
,John Thomas Shepherd,Shepherd,arw,ARWD0504,active,false,Donald J. Trump,Republican,2026-01-29,2026-04-14,2026-04-23,,,University of Arkansas School of Law,2013,Qualified,,https://upload.wikimedia.org/wikipedia/commons/7/7d/John_Thomas_Shepherd.png,https://commons.wikimedia.org/wiki/File:John_Thomas_Shepherd.png,Public domain (PD-USGov) — credit: U.S. Senate Judiciary Committee,false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
2184,Stephen M. McNamee,McNamee,azd,AZD0304,senior,false,George H.W. Bush,Republican,1990-02-20,1990-05-11,1990-06-04,2007-10-01,,University of Arizona College of Law (now James E. Rogers College of Law),1969,Qualified,https://www.courtlistener.com/person/2184/stephen-m-mcnamee/,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Stephen_M._McNamee_by_Gage_Skidmore.jpg/330px-Stephen_M._McNamee_by_Gage_Skidmore.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Stephen_M._McNamee_by_Gage_Skidmore.jpg,CC BY-SA 3.0 — credit: Gage Skidmore,false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
2967,Roslyn O. Silver,Silver,azd,AZD0702,senior,false,William J. Clinton,Democratic,1994-09-14,1994-10-07,1994-10-11,2013-09-03,,Arizona State University College of Law (now Sandra Day O’Connor College of Law),1971,Well Qualified,https://www.courtlistener.com/person/2967/roslyn-o-silver/,https://upload.wikimedia.org/wikipedia/commons/f/f6/Roslyn_O._Silver.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,https://commons.wikimedia.org/wiki/File:Roslyn_O._Silver.JPG,Public domain,false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
3593,Frank R. Zapata,Zapata,azd,AZD0503,senior,false,William J. Clinton,Democratic,1996-03-29,1996-07-31,1996-08-01,2010-08-03,,University of Arizona College of Law (now James E. Rogers College of Law),1973,Well Qualified,https://www.courtlistener.com/person/3593/frank-r-zapata/,https://upload.wikimedia.org/wikipedia/commons/0/02/Frank_R._Zapata_District_Judge.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,https://commons.wikimedia.org/wiki/File:Frank_R._Zapata_District_Judge.jpg,Public domain,false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
683,Raner Christercunean Collins,Collins,azd,AZD0108,senior,false,William J. Clinton,Democratic,1998-05-11,1998-07-31,1998-08-03,2019-03-04,,University of Arizona College of Law (now James E. Rogers College of Law),1975,Qualified,https://www.courtlistener.com/person/683/raner-christercunean-collins/,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Raner_Collins_%28cropped%29.jpg/330px-Raner_Collins_%28cropped%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Raner_Collins_(cropped).jpg,Public domain,false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
322,Susan Ritchie Bolton,Bolton,azd,AZD0902,senior,false,William J. Clinton,Democratic,2000-07-21,2000-10-03,2000-10-13,2016-09-01,,University of Iowa College of Law,1975,Well Qualified,https://www.courtlistener.com/person/322/susan-ritchie-bolton/,https://upload.wikimedia.org/wikipedia/commons/c/c2/Susan_R._Bolton.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,https://commons.wikimedia.org/wiki/File:Susan_R._Bolton.jpg,Public domain,false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
3186,James A. Teilborg,Teilborg,azd,AZD1001,senior,false,William J. Clinton,Democratic,2000-07-21,2000-10-03,2000-10-13,2013-01-30,,University of Arizona College of Law (now James E. Rogers College of Law),1966,Qualified,https://www.courtlistener.com/person/3186/james-a-teilborg/,https://upload.wikimedia.org/wikipedia/commons/7/72/James_A._Teilborg.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,https://commons.wikimedia.org/wiki/File:James_A._Teilborg.JPG,Public domain,false,,,false,,,false,Phase-2 sweep; FJC + CourtListener.
